"Fecha","Tipo de dólar","Precio de venta","Precio de compra"
"03/01/11","Casas de cambio","4.000",""
"03/01/11","Informal","4.110",""
"04/01/11","Casas de cambio","4.000",""
"04/01/11","Informal","4.120",""
"04/01/11","Casas de cambio","4.000",""
"05/01/11","Informal","4.138",""
"06/01/11","Casas de cambio","4.000",""
"06/01/11","Informal","4.138",""
"07/01/11","Casas de cambio","4.000",""
"07/01/11","Informal","4.120",""
"10/01/11","Casas de cambio","4.000",""
"10/01/11","Informal","4.113",""
"11/01/11","Casas de cambio","4.000",""
"11/01/11","Informal","4.130",""
"12/01/11","Casas de cambio","4.000",""
"12/01/11","Informal","4.130",""
"13/01/11","Casas de cambio","4.000",""
"13/01/11","Informal","4.135",""
"14/01/11","Casas de cambio","4.000",""
"14/01/11","Informal","4.135",""
"17/01/11","Casas de cambio","4.000",""
"17/01/11","Informal","4.130",""
"18/01/11","Casas de cambio","4.000",""
"18/01/11","Informal","4.145",""
"19/01/11","Casas de cambio","4.000",""
"19/01/11","Informal","4.148",""
"20/01/11","Casas de cambio","4.005",""
"20/01/11","Informal","4.150",""
"21/01/11","Casas de cambio","4.005",""
"21/01/11","Informal","4.145",""
"24/01/11","Casas de cambio","4.010",""
"24/01/11","Informal","4.143",""
"25/01/11","Casas de cambio","4.010",""
"25/01/11","Informal","4.143",""
"26/01/11","Casas de cambio","4.010",""
"26/01/11","Informal","4.148",""
"27/01/11","Casas de cambio","4.015",""
"27/01/11","Informal","4.150",""
"28/01/11","Casas de cambio","4.020",""
"28/01/11","Informal","4.150",""
"31/01/11","Casas de cambio","4.020",""
"31/01/11","Informal","4.135",""
"01/02/11","Casas de cambio","4.030",""
"01/02/11","Informal","4.133",""
"02/02/11","Casas de cambio","4.035",""
"02/02/11","Informal","4.118",""
"03/02/11","Casas de cambio","4.035",""
"03/02/11","Informal","4.115",""
"04/02/11","Casas de cambio","4.040",""
"04/02/11","Informal","4.118",""
"07/02/11","Casas de cambio","4.040",""
"07/02/11","Informal","4.118",""
"08/02/11","Casas de cambio","4.040",""
"08/02/11","Informal","4.135",""
"09/02/11","Casas de cambio","4.040",""
"09/02/11","Informal","4.135",""
"10/02/11","Casas de cambio","4.040",""
"10/02/11","Informal","4.138",""
"11/02/11","Casas de cambio","4.040",""
"11/02/11","Informal","4.145",""
"14/02/11","Casas de cambio","4.040",""
"14/02/11","Informal","4.143",""
"15/02/11","Casas de cambio","4.050",""
"15/02/11","Informal","4.158",""
"16/02/11","Casas de cambio","4.050",""
"16/02/11","Informal","4.168",""
"17/02/11","Casas de cambio","4.050",""
"17/02/11","Informal","4.178",""
"18/02/11","Casas de cambio","4.050",""
"18/02/11","Informal","4.178",""
"21/02/11","Casas de cambio","4.050",""
"21/02/11","Informal","4.163",""
"22/02/11","Casas de cambio","4.050",""
"22/02/11","Informal","4.163",""
"23/02/11","Casas de cambio","4.050",""
"23/02/11","Informal","4.165",""
"24/02/11","Casas de cambio","4.055",""
"24/02/11","Informal","4.173",""
